objectid,name_std,acreage,year,raw_excerpt
79,Thomas Moreman,303.0,1735.0,303a Hanover County joining the line dividing Hanover and Spotsylvania Counties and to the lines of George Hoomes
80,James Holman Gent.,400.0,1735.0,400a Goochland Co. on both Sides of Rock Fish Riv.
81,Nicholas Meriwether Junior,400.0,1735.0,400a Hanover County on W side of little Mountains on both sides of Wolf Trap Branch
82,Thomas Moreman,303.0,1735.0,303a HNCO joining the line dividing Hanover and Spotsylvania Counties and to the Lines
83,Jas Holman,336.0,1735.0,336a Goochlan/on Rockfish Riv(self
84,,2400.0,1735.0,2400a on the N side of the Rivanna River
85,John Henry Of Hanover Co.,1250.0,1735.0,1250a on both sides the Main Fork of James River and buck mtn. Creek in the Co. aforesaid
86,Benjamin Johnson,200.0,1735.0,200a on both sides of Machunk Creek & Turkey Run in Hanover County
87,Nicholas Merriwether Gent.,1020.0,1735.0,1020a on both sides of the Rivanna River in Goochland County
88,Peter Jefferson Gent.,1000.0,1735.0,1000a Goochland County adj. to the S side of the Rivanna River
89,Abraham Lewis,400.0,1735.0,400a on both sides of Meadow Creek of the S side of the
90,Nicholas Merriwether Gent.,1020.0,1735.0,1020a on both sides of the Rivanna River in Goochland County
91,Abraham Venables Gent.,1500.0,1735.0,1500a in the South Garden among the Mountains and Hardwar River South Branch in Goochland County
92,Charles Hudson,2000.0,1735.0,2000a Goochland County on the Branches of Ivy Creek on the S side of Rivanna River
93,David Lewis,700.0,1735.0,700a on the South Branches of the Rivanna River
94,John Minor Of Spotsylvania County,400.0,1735.0,400a Hanover county on upper side of the N Fork of James River
95,John Waller Junr Of Spotsylvania County,400.0,1735.0,400a Hanover County on both sides the N Fork of
96,Howard Cash,250.0,1735.0,250a Goochland County on both sides Meadow Cr. of the South Side of the Rivanna River
97,Charles Lynch,400.0,1735.0,400a Goochland Co. on both sides of Moor's Cr. of the
98,Charles Lynch,325.0,1735.0,325a Goochland Co. N side the Rivanna River near the Mountains
99,Ambrose Joshua Smith,1200.0,1735.0,1200a Hanover County on both sides of Pritties Creek
100,Charles Lynch,278.0,1735.0,278a Goochland County on both sides Hardwar River
101,Michael Holland,4365.0,1735.0,4365a Goochland Co. on both sides of Ivy Cr.
102,Ambrose Joshua Smith,400.0,1735.0,400a Hanover County on W side of the first Mountains
103,Thomas Moreman,400.0,1735.0,400a Goochland Co. on the Brs. of Meadow Cr. and Ivy Creek of the South side of the Rivanna River
104,,250.0,1735.0,250a Goochland Co. on both sides of the Rivanna River Middle br. including the Indian Grave Low-Grounds
105,Joseph Foster Of New Kent County,938.0,1735.0,938a Hanover County on both sides the second main Branch of the North fork of James River
106,William Coursey Of Caroline County,368.0,1736.0,368a HNCO on both sides Wolftrap Swamp
107,,400.0,1736.0,400a Hanover County on both sides the N fork of
108,Anthony Pouncy,400.0,1736.0,400a Hanover Co. beyond the Little Mountains
109,Robert Lewis,780.0,1736.0,780a Goochland County on the Branches of Ivy Creek of the S side of the Rivanna
110,Robert Lewis Gent.,3250.0,1736.0,3250a Goochland County on the Branches of Ivy Creek on the S side of the Rivanna River
111,Alexander Mackilligott,400.0,1736.0,400a Hanover County on W side of the first Ledge
112,David Watts,300.0,1736.0,300a Hanover County on Main ffork of Prittie's Creek
113,James Coleman,400.0,1737.0,400a Hanover County between the two Ledges of Mountains
114,James Coleman Of Orco,400.0,1737.0,400a Hanover Co. N side of S Br. of N Fork of James Riv.
115,Bartholomew Durrett,268.0,1737.0,268a Hanover County on both sides the middle Fork of Pretty's Creek beyond the little Mountains
116,Bartholomew Durrett,268.0,1737.0,268a HNCO on both sides the middle Fork of Pretty's
117,Thomas Carr Of Caroline County,5041.0,1737.0,5041a Hanover County on both sides of the N Fork of James River
118,John Thompson,524.0,1737.0,524a Hanover County between the two Ledges of Mountains and upon both sides the S branch of N fork of James River
119,Bartholomew Durrett,268.0,1737.0,268a HNCO on both sides the middle Fork of Pretty's
120,Michael Wood,400.0,1737.0,400a Goochland Co. on both Sides of Lickinghole Cr. a Branch of Mecham's River
121,Archibald Wood,400.0,1737.0,400a Goochland Co. on both Sides of Mecham's River
122,Michael Wood,400.0,1737.0,400a Goochland County on the head of Ivy Creek on other Branches of the North River on the South Side of the North River
123,Michael Wood,350.0,1737.0,350a Goochland County on both Sides of Mecham's River
124,Michael Wood,187.0,1737.0,187a Goochland Co. on both Sides of Mecham's Riv. and Beaver Creek
125,Charles Caffry,300.0,1737.0,300a Goochland County on both Sides of Moor's Cr. a Branch of the Rivanna
126,William Wallace,400.0,1737.0,400a Goochland Co. on both Sides of Mecham's River and Lickinghole Creek a Branch of Mecham's River
127,Matthew Mills,400.0,1737.0,400a Goochland Co. on the Brs. of Mecham's Riv. adjacent to the Ragged Mountains
128,Patrick Nowland,400.0,1737.0,400a Goochland Co. on both Sides of Biskit Run a branch of Moors Creek of the S Side of Rivanna River
129,Hugh Dohorty,400.0,1737.0,400a Goochland Co. on both Sides of the Head of Biskit Run a Branch of Moors Creek on the S Side of Rivanna River
130,Henry Terrell,1750.0,1737.0,1750a Goochland Co. on the Brs. of Mecham's Riv. on the N Side of the ragged Mountains near Cucumber Mountain
