grant_id,component_id,shift_km
6,5,0.8678805185136247
9,8,0.8372719737875194
11,10,0.8647309184164098
13,12,0.8371407466331326
14,13,0.8401659120354246
15,14,0.8481015628946157
16,15,0.846469319008058
17,16,0.8479859604866337
18,17,0.8487023642873065
20,19,0.8575351951917077
21,20,0.8555896064113871
25,24,0.8124764617399188
29,28,0.8450826781643566
30,29,0.8449637883937166
31,30,0.845252522493788
34,33,0.8376058225223906
35,34,0.8384806622231914
36,35,0.8390233195960013
38,37,0.8411322253966401
39,38,0.8446580766085162
40,39,0.8256914964763252
41,40,0.8422349305025929
43,42,0.834917706272263
44,43,0.8349012410592408
3342,3341,0.8468775814533376
3343,3342,0.846920595325352
3344,3343,0.8583846751685951
3347,3346,0.8469636093031959
3348,3347,0.8362498365986368
3349,3348,0.83726567760935
3351,3350,0.8396713690672697
3352,3351,0.851057868294388
3353,3352,0.8518907015545576
3354,3353,0.8453521964534503
3355,3354,0.8436558280032037
4919,4918,0.6926829109186277
4920,4919,0.6927022909850056
4921,4920,0.692785517230825
4922,4921,0.6927869304152966
4924,4923,0.6927286706691455
4926,4925,0.6926532682507001
4927,4926,0.6927318171088069
4929,4928,0.6927445586452119
4930,4929,0.6926700048500872
4931,4930,0.692675730474164
4933,4932,0.6926397421821984
4934,4933,0.6926725160824356
4936,4935,0.6926914944988702
4938,4937,0.6926651956847049
4939,4938,0.6926713021648454
4941,4940,0.6926635565328262
4942,4941,0.6926663800816328
4943,4942,0.6926532682506996
4944,4943,0.6927123073038136
4946,4945,0.6928111397084458
4950,4949,0.6927233748514083
4951,4950,0.6926898786694254
4952,4951,0.6926885910025027
4953,4952,0.6927208161089328
4956,4955,0.6926992090078875
4961,4960,0.6928894596496815
4963,4962,0.6926440746089445
4964,4963,0.6925349868649552
4968,4967,0.6928111397084422
4969,4968,0.6928916991198861
4972,4971,0.6929507619266981
4973,4972,0.6929501859451289
4975,4974,0.6929476024740041
4976,4975,0.6929285201697116
4977,4976,0.6924722451457442
4978,4977,0.6928839954137106
4979,4978,0.6926218702774053
4980,4979,0.6926439944279502
4981,4980,0.6926757234410676
4982,4981,0.692937237431295
4983,4982,0.6929372713475829
4984,4983,0.6929349065454469
4985,4984,0.6929500109395983
4986,4985,0.692953797431399
4987,4986,0.6929499936660425
4988,4987,0.6926709140884654
4989,4988,0.6926453569847841
4990,4989,0.6926465586363141
4991,4990,0.6926456334982201
4992,4991,0.6926828218320528
4993,4992,0.6928779240499131
4994,4993,0.692792225167381
4995,4994,0.6925877036890066
